stock_symbol,company_name,abbreviation,sector_id,address,chairman,general_manager,spokesperson,spokesperson_title,founding_date,otc_listed_date,outstanding_common_shares,private_placement_common_shares,preferred_shares,common_stock_dividend_frequency,common_stock_dividend_decision_level,accounting_firm,accountant_1,accountant_2,website
8091,翔名科技股份有限公司,翔名,1,新竹巿香山區牛埔南路221號,吳宗豐,陳基川,吳予彤,資深經理,1991-12-27,2004-06-24,52760114,0,0,每年,董事會,勤業眾信聯合會計師事務所,林心彤,陳明煇,http://www.feedback.com.tw
8092,建暐精密科技股份有限公司,建暐,14,高雄市鳳山區鎮北里鎮北北巷20-16號,李聰林,李聰林,張宏傑,財務副總,1984-06-14,2004-02-02,57172325,0,0,每年,股東會,資誠聯合會計師事務所,廖阿甚,王國華,http://www.chienwei.com
8093,保銳科技股份有限公司,保銳,13,桃園市桃園區經國路888號2樓之1,呂禮正,呂禮正,傅玉梅,行銷業務部經理,1990-04-02,2004-12-31,60945945,16000000,0,每年,股東會,資誠聯合會計師事務所,涂展源,林佳鴻,www.enermax.com
8096,擎亞電子股份有限公司,擎亞,16,台北市南港區園區街3-2號13樓,李熙俊,申東洙,陳鴻義,財務長,1997-11-21,2004-07-15,149343066,0,0,每年,董事會,資誠聯合會計師事務所,馮敏娟,林永智,www.coasiaelec.com
8097,常珵科技股份有限公司,常珵,15,新北市樹林區博愛街236號1樓,林銜錄,黃南豪,李靜宜,財務處副總,1986-06-17,2004-03-01,66064468,12000000,0,每年,董事會,日正聯合會計師事務所,陳枝凌,陳依玲,www.atwtechnology.com
8099,大同世界科技股份有限公司,大世科,18,台北市中山北路三段22號,吳振隆,劉盈秀,許秋嬋,財務長,2000-05-05,2004-03-29,88560000,0,0,每年,股東會,安侯建業聯合會計師事務所,黃欣婷,賴麗真,https://www.etatung.com
8107,大億金茂股份有限公司,大億金茂,11,台南市南區新樂路39號,吳俊億,陳俊宏,劉茵姍,財務暨會計主管,1998-01-05,2005-11-15,75000000,0,0,每年,董事會,資誠聯合會計師事務所,田中玉,葉芳婷,www.kenmos.com
8109,博大科技股份有限公司,博大,13,台中市工業區22路36號,廖本崇,廖本崇,吳忠原,市場部副理,1992-06-16,2005-03-22,82161236,0,0,每年,董事會,安侯建業聯合會計師事務所,張字信,陳政學,www.pduke.com
8111,立碁電子工業股份有限公司,立碁,2,238新北市樹林區博愛街238號,童義興,童義興,黃冠甄,稽核主管,1989-06-27,2004-02-09,109102223,0,0,每年,董事會,國富浩華聯合會計師事務所,王戊昌,陳昭惠,http://www.ligitek.com
8121,越峰電子材料股份有限公司,越峰,13,台北市內湖區基湖路39號8樓,吳亦圭,吳文豪,王敏華,業務協理,1991-09-05,2005-02-17,212993743,0,0,每年,股東會,勤業眾信聯合會計師事務所,張正修,邱政俊,https://www.acme-ferrite.com.tw
8147,正淩精密工業股份有限公司,正淩,13,新北市汐止區康寧街169巷31號2樓,徐季麟,陳言成,劉偉豪,副總經理,1986-10-21,2013-04-30,40488084,0,0,每年,股東會,資誠聯合會計師事務所,吳偉豪,蔣承翰,www.nextrongroup.com
8155,博智電子股份有限公司,博智,13,桃園市龍潭區烏林里工二路128號,張永青,洪輝龍,林于凱,業務處副總經理,1995-04-26,2012-12-18,55767550,0,0,每年,董事會,安侯建業聯合會計師事務所,黃更佳,郭冠纓,www.accl.com.tw
